City,Cloudiness,Country_code,Date,Humidity,Latitude,Longitude,Max_temp,Wind_speed
Bambanglipuro,92,ID,1547607005,90,-7.95,110.28,79.05200000000008,3.46
Loralai,68,PK,1547607010,76,30.37,68.6,27.57200000000004,1.56
Hervey Bay,32,AU,1547604000,43,-25.3,152.85,89.6,5.7
Khandyga,8,RU,1547607011,0,62.65,135.58,-45.23799999999994,1.06
Dudinka,64,RU,1547607011,82,69.41,86.18,3.2720000000000375,4.01
Udachnyy,76,RU,1547606933,55,66.42,112.4,-19.94799999999998,3.41
Itoman,75,JP,1547606160,72,26.12,127.67,64.4,4.6
Port Elizabeth,1,US,1547603760,81,39.31,-74.98,30.02000000000006,1.91
Nokaneng,12,BW,1547607012,74,-19.66,22.19,71.58200000000002,4.61
Coihaique,0,CL,1547604000,62,-45.58,-72.07,51.8,3.1
Yaan,0,NG,1547607012,72,7.38,8.57,67.892,1.61
Nakhon Phanom,0,LA,1547604000,61,17.4,104.79,77.0,3.6
Pierre,90,US,1547605260,84,44.37,-100.35,26.960000000000083,4.1
Richards Bay,100,ZA,1547607013,100,-28.77,32.06,73.11200000000005,4.46
Ayorou,0,NE,1547607013,37,14.73,0.92,54.57200000000004,1.61
New Plymouth,0,NZ,1547607013,84,-39.06,174.08,68.70200000000008,8.41
Mecca,48,SA,1547606881,85,21.43,39.83,63.391999999999996,1.16
Portland,75,US,1547603760,61,45.52,-122.67,42.08000000000004,7.2
Anadyr,90,RU,1547605800,76,64.73,177.51,-5.799999999999947,6.0
Ler,0,NO,1547605200,85,63.2,10.3,23.0,3.6
Atambua,24,ID,1547607014,99,-9.11,124.89,82.38200000000002,2.86
Lerwick,44,GB,1547605200,81,60.15,-1.15,46.4,14.9
Naryan-Mar,80,RU,1547607015,88,67.67,53.09,12.991999999999997,1.21
Shafranovo,88,RU,1547607015,87,53.97,54.77,19.741999999999997,5.66
Tendukheda,0,IN,1547605800,54,23.4,79.54,53.6,1.31
San Felipe,0,CL,1547606887,73,-32.75,-70.73,55.022000000000034,0.26
Majene,92,ID,1547607016,100,-3.54,118.97,78.60200000000007,7.41
Puro,76,PH,1547607016,76,13.13,123.76,79.32200000000003,7.36
Zyryanka,0,RU,1547607016,0,65.73,150.89,-36.95799999999994,1.16
Griffith,0,AU,1547604000,12,-34.29,146.06,109.4,2.1
Kuruman,0,ZA,1547607017,23,-27.46,23.43,63.03200000000002,4.21
Porbandar,0,IN,1547605800,62,21.64,69.61,57.2,1.0
Zhangye,0,CN,1547606738,70,38.94,100.46,16.952000000000076,3.56
Beira,92,ES,1547604000,87,43.2,-8.36,48.2,2.1
Koygorodok,92,RU,1547607017,84,60.44,51.01,22.802000000000078,2.96
Prince George,90,CA,1547605020,92,53.92,-122.75,21.2,1.5
Holoby,80,UA,1547607018,92,51.09,25.02,26.312000000000058,1.31
Nouadhibou,44,MR,1547607018,66,20.93,-17.03,62.582000000000015,6.41
Sisimiut,76,GL,1547607018,100,66.94,-53.67,-5.547999999999973,1.01
Moose Factory,90,CA,1547604720,92,51.26,-80.61,14.0,1.21
Tabuk,0,PH,1547607019,60,17.41,121.44,74.28200000000001,1.16
Zlotoryja,75,PL,1547605800,93,51.13,15.92,39.2,8.7
Labuhan,92,ID,1547607019,90,-2.54,115.51,77.88200000000002,1.31
Asosa,0,ET,1547607019,82,10.07,34.53,53.76200000000006,1.41
Yeppoon,40,AU,1547605800,48,-23.13,150.74,87.8,2.6
Don Sak,20,TH,1547605800,79,9.32,99.69,84.2,2.6
Haines Junction,68,CA,1547607025,70,60.75,-137.51,-1.227999999999966,1.01
Ixtapa,90,MX,1547603040,88,20.71,-105.21,78.8,1.0
Tanout,0,NE,1547607026,66,14.97,8.88,46.832000000000015,3.66
Wewak,36,PG,1547607026,100,-3.55,143.63,83.82200000000003,1.76
Nuuk,80,GL,1547603400,92,64.17,-51.74,21.2,6.2
Tabas,0,IR,1547604000,79,33.6,56.92,44.6,1.0
Kayerkan,80,RU,1547607030,81,69.35,87.76,5.7919999999999945,2.71
Shitanjing,64,CN,1547607030,51,39.23,106.34,12.452000000000076,1.26
Sistranda,20,NO,1547603400,85,63.73,8.83,23.0,8.2
Celle,75,DE,1547605200,93,52.62,10.08,44.6,6.2
Vanavara,64,RU,1547607030,84,60.35,102.28,2.282000000000018,2.36
Hakkari,90,FI,1547605200,85,61.34,23.75,21.2,2.6
Lavrentiya,88,RU,1547607031,94,65.58,-170.99,33.062000000000054,7.36
Braniewo,56,PL,1547607008,100,54.38,19.82,35.76200000000006,6.11
Guarumal,90,EC,1547604000,74,-1.88,-79.65,80.6,1.0
